City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,66.2,82,60,8.05,ZA,2021-04-18 23:14:32
1,East London,-33.0153,27.9116,74.7,30,0,6.46,ZA,2021-04-18 23:11:10
2,Yatou,37.15,122.3833,52.79,65,0,11.16,CN,2021-04-18 23:15:07
3,Chokurdakh,70.6333,147.9167,9.59,91,95,14.25,RU,2021-04-18 23:14:15
4,Albany,42.6001,-73.9662,55.0,54,75,6.91,US,2021-04-18 23:12:33
5,Saldanha,-33.0117,17.9442,62.6,88,46,9.22,ZA,2021-04-18 23:14:29
6,Bethel,41.3712,-73.414,59.0,38,90,8.05,US,2021-04-18 23:10:21
7,Novovasylivka,46.8315,35.7536,46.02,79,75,2.73,UA,2021-04-18 23:15:08
8,Chuy,-33.6971,-53.4616,63.36,78,0,7.56,UY,2021-04-18 23:15:08
9,Coquimbo,-29.9533,-71.3436,57.2,88,90,4.61,CL,2021-04-18 23:15:09
10,Chalus,36.655,51.4204,60.8,88,0,2.3,IR,2021-04-18 23:15:09
11,Kuching,1.55,110.3333,75.2,94,20,2.62,MY,2021-04-18 23:13:01
12,Broome,42.2506,-75.833,53.01,57,75,6.91,US,2021-04-18 23:15:09
13,Punta Arenas,-53.15,-70.9167,51.8,82,75,16.11,CL,2021-04-18 23:12:14
14,College,64.8569,-147.8028,60.8,26,40,2.62,US,2021-04-18 23:15:10
15,Ancud,-41.8697,-73.8203,55.4,100,90,14.97,CL,2021-04-18 23:15:10
16,Mar Del Plata,-38.0023,-57.5575,69.01,83,0,6.91,AR,2021-04-18 23:15:11
17,Doha,25.2867,51.5333,82.4,24,0,3.44,QA,2021-04-18 23:11:01
18,Esperance,-33.8667,121.9,50.0,87,0,4.61,AU,2021-04-18 23:11:06
19,Beringovskiy,63.05,179.3167,32.41,95,94,5.64,RU,2021-04-18 23:14:33
20,Pisco,-13.7,-76.2167,69.01,83,0,13.8,PE,2021-04-18 23:14:37
21,Fort Morgan,40.2503,-103.8,60.8,17,90,10.36,US,2021-04-18 23:15:11
22,Hofn,64.2539,-15.2082,39.27,69,6,19.01,IS,2021-04-18 23:14:31
23,Faanui,-16.4833,-151.75,82.69,69,9,12.44,PF,2021-04-18 23:15:12
24,Tuktoyaktuk,69.4541,-133.0374,35.6,75,1,14.97,CA,2021-04-18 23:15:12
25,Hilo,19.7297,-155.09,82.4,54,20,12.66,US,2021-04-18 23:14:46
26,Jieshou,33.2634,115.3611,51.12,63,0,5.48,CN,2021-04-18 23:15:12
27,San Patricio,28.017,-97.5169,64.99,52,90,8.05,US,2021-04-18 23:14:21
28,Aklavik,68.2191,-135.0107,48.2,37,16,8.05,CA,2021-04-18 23:15:13
29,Nouadhibou,20.931,-17.0347,66.2,77,0,14.97,MR,2021-04-18 23:15:13
30,Narsaq,60.9167,-46.05,30.2,34,40,3.44,GL,2021-04-18 23:15:13
31,Port Alfred,-33.5906,26.891,74.88,34,0,9.42,ZA,2021-04-18 23:10:04
32,Key West,24.5557,-81.7826,82.4,74,1,11.5,US,2021-04-18 23:10:54
33,Pevek,69.7008,170.3133,21.27,94,100,14.67,RU,2021-04-18 23:15:14
34,Nikolskoye,59.7035,30.7861,46.4,57,0,8.95,RU,2021-04-18 23:14:16
35,Arraial Do Cabo,-22.9661,-42.0278,75.2,88,75,9.22,BR,2021-04-18 23:15:14
36,Kibala,9.1104,18.3463,87.8,35,0,6.13,TD,2021-04-18 23:15:15
37,Port Elizabeth,-33.918,25.5701,66.2,45,0,13.8,ZA,2021-04-18 23:14:29
38,Touros,-5.1989,-35.4608,75.2,94,40,3.44,BR,2021-04-18 23:15:15
39,Terrace,54.5163,-128.6035,66.2,20,1,9.22,CA,2021-04-18 23:15:15
40,Saint-Paul,-21.0096,55.2707,77.0,69,75,8.05,RE,2021-04-18 23:15:16
41,Bluff,-46.6,168.3333,60.01,80,79,3.0,NZ,2021-04-18 23:14:18
42,Waddan,29.1614,16.139,64.04,68,88,11.99,LY,2021-04-18 23:15:16
43,Ahipara,-35.1667,173.1667,64.47,53,86,4.41,NZ,2021-04-18 23:15:16
44,Olafsvik,64.8945,-23.7142,34.86,61,96,16.69,IS,2021-04-18 23:15:17
45,Dali,25.7,100.1833,50.11,85,1,5.44,CN,2021-04-18 23:15:17
46,Ushuaia,-54.8,-68.3,53.6,62,20,6.91,AR,2021-04-18 23:09:16
47,Utena,55.5,25.6,43.97,75,6,6.96,LT,2021-04-18 23:15:17
48,Manga,11.6636,-1.0731,83.16,56,76,17.45,BF,2021-04-18 23:15:18
49,Avarua,-21.2078,-159.775,84.2,79,43,14.97,CK,2021-04-18 23:14:33
50,Mana,5.6592,-53.7767,77.97,79,85,9.37,GF,2021-04-18 23:15:18
51,Pulaski,34.7668,-92.3001,60.01,58,40,10.36,US,2021-04-18 23:15:18
52,Kaitangata,-46.2817,169.8464,60.96,57,84,9.78,NZ,2021-04-18 23:14:15
53,Helong,42.5397,128.9972,52.36,33,1,4.56,CN,2021-04-18 23:15:19
54,Pirganj,25.8523,88.3618,72.09,80,30,7.43,BD,2021-04-18 23:15:19
55,Dikson,73.5069,80.5464,-12.6,100,100,4.94,RU,2021-04-18 23:14:18
56,Georgetown,5.4112,100.3354,81.0,89,20,5.75,MY,2021-04-18 23:14:24
57,Svetlyy,54.675,20.1347,50.0,93,0,4.47,RU,2021-04-18 23:15:20
58,Jamestown,42.097,-79.2353,51.8,54,1,5.75,US,2021-04-18 23:13:49
59,Codrington,-38.2667,141.9667,57.13,82,54,12.8,AU,2021-04-18 23:15:20
60,Victor Harbor,-35.5667,138.6167,61.0,81,28,13.11,AU,2021-04-18 23:15:20
61,Seoul,37.5683,126.9778,44.6,81,0,8.05,KR,2021-04-18 23:13:51
62,Tura,25.5198,90.2201,66.76,91,39,4.25,IN,2021-04-18 23:15:04
63,Rikitea,-23.1203,-134.9692,77.81,76,9,9.4,PF,2021-04-18 23:13:26
64,Ovalle,-30.5983,-71.2003,70.63,54,3,4.23,CL,2021-04-18 23:15:21
65,Chauk,20.8833,94.8167,81.12,53,1,7.16,MM,2021-04-18 23:15:21
66,Hermanus,-34.4187,19.2345,66.99,80,83,11.01,ZA,2021-04-18 23:13:18
67,Bontang,0.1333,117.5,75.61,90,100,7.34,ID,2021-04-18 23:15:22
68,Mataura,-46.1927,168.8643,60.01,80,94,3.0,NZ,2021-04-18 23:14:12
69,Sola,-13.8833,167.55,82.47,73,73,8.99,VU,2021-04-18 23:15:22
70,Cape Town,-33.9258,18.4232,69.01,94,0,16.11,ZA,2021-04-18 23:14:32
71,Clyde River,70.4692,-68.5914,6.8,85,90,10.36,CA,2021-04-18 23:15:22
72,Kapaa,22.0752,-159.319,78.8,61,1,12.66,US,2021-04-18 23:14:36
73,New Norfolk,-42.7826,147.0587,60.01,75,100,1.99,AU,2021-04-18 23:14:21
74,Stuttgart,48.7823,9.177,43.0,81,20,1.14,DE,2021-04-18 23:13:22
75,Hovd,48.0056,91.6419,40.08,36,89,9.8,MN,2021-04-18 23:15:23
76,Launceston,-41.45,147.1667,57.99,82,75,11.5,AU,2021-04-18 23:15:23
77,Kiruna,67.8557,20.2251,30.2,69,52,9.22,SE,2021-04-18 23:15:24
78,Luau,-10.7073,22.2247,63.57,91,42,3.6,AO,2021-04-18 23:15:24
79,Karratha,-20.7377,116.8463,78.33,68,2,4.18,AU,2021-04-18 23:15:24
